words_sentences,polarity,subjectivity,neg,neu,pos,compound,pos_neg,value
Great.,0.8,0.75,0.0,0.0,1.0,0.6249,POSITIVE,0.9944
Good.,0.7,0.6000000000000001,0.0,0.0,1.0,0.4404,POSITIVE,0.942
Not great.,-0.4,0.75,0.767,0.233,0.0,-0.5096,NEGATIVE,0.9996
Bad.,-0.6999999999999998,0.6666666666666666,1.0,0.0,0.0,-0.5423,NEGATIVE,0.9999
Awful.,-1.0,1.0,1.0,0.0,0.0,-0.4588,NEGATIVE,1.0
Tesla is great.,0.8,0.75,0.0,0.328,0.672,0.6249,POSITIVE,0.9973
Tesla is good.,0.7,0.6000000000000001,0.0,0.408,0.592,0.4404,POSITIVE,0.9949
Tesla is not great.,-0.4,0.75,0.523,0.477,0.0,-0.5096,NEGATIVE,0.9999
Tesla is bad.,-0.6999999999999998,0.6666666666666666,0.636,0.364,0.0,-0.5423,NEGATIVE,0.9993
Tesla is awful.,-1.0,1.0,0.6,0.4,0.0,-0.4588,NEGATIVE,0.9999
Tesla absolutely goes up.,0.2,0.9,0.0,1.0,0.0,0.0,POSITIVE,0.9996
Tesla definitely goes up.,0.0,0.5,0.0,0.526,0.474,0.4019,POSITIVE,0.9996
Tesla clearly goes up.,0.10000000000000002,0.3833333333333333,0.0,0.526,0.474,0.4019,POSITIVE,0.9988
Tesla certainly goes up.,0.21428571428571427,0.5714285714285714,0.0,0.556,0.444,0.34,POSITIVE,0.9993
Tesla surely goes up.,0.5,0.8888888888888888,0.0,0.508,0.492,0.4404,POSITIVE,0.9986
Tesla probably goes up.,0.0,0.0,0.0,1.0,0.0,0.0,POSITIVE,0.991
Tesla most likely goes up.,0.25,0.75,0.0,1.0,0.0,0.0,POSITIVE,0.9599
Tesla likely goes up.,0.0,1.0,0.0,1.0,0.0,0.0,POSITIVE,0.9704
Tesla presumably goes up.,0.0,0.0,0.0,1.0,0.0,0.0,POSITIVE,0.9111
Tesla maybe goes up.,0.0,0.0,0.0,1.0,0.0,0.0,POSITIVE,0.7729
Tesla perhaps goes up.,0.0,0.0,0.0,1.0,0.0,0.0,POSITIVE,0.8721
Tesla could go up.,0.0,0.0,0.0,1.0,0.0,0.0,POSITIVE,0.9971
Tesla might go up.,0.0,0.0,0.0,1.0,0.0,0.0,POSITIVE,0.9811
Tesla possibly goes up.,0.0,1.0,0.0,1.0,0.0,0.0,POSITIVE,0.956
