ticker,date,time,headline,neg,neu,pos,compound
AMZN,2021-10-26,07:56PM,Senate Democrats Propose Minimum Corporate Tax. What to Know.,0.0,1.0,0.0,0.0
AMZN,2021-10-26,07:05PM,"Microsofts Cloud-Computing Strength Fuels Revenue, Profit",0.0,0.396,0.604,0.7269
AMZN,2021-10-26,07:03PM,Google Growth Overshadowed by Slower YouTube and Cloud Results,0.0,0.755,0.245,0.3818
AMZN,2021-10-26,06:40PM,Senate Democrats Propose Minimum Corporate Tax,0.0,1.0,0.0,0.0
AMZN,2021-10-26,06:22PM,Nancy Pelosi keeps pouring millions into this 1 sector  it might be time to tag along,0.0,1.0,0.0,0.0
AMZN,2021-10-26,05:27PM,"Verizon, Amazon's Project Kuiper Collaborate To Develop Connectivity Solutions",0.0,0.825,0.175,0.1779
AMZN,2021-10-26,04:46PM,Becton Dickinson Starts Selling New At-Home Rapid COVID-19 Tests,0.0,1.0,0.0,0.0
AMZN,2021-10-26,04:42PM,AMD 3Q earnings beat estimates amid EPYC processor momentum,0.0,1.0,0.0,0.0
AMZN,2021-10-26,04:25PM,AWS Announces General Availability of Amazon EC2 DL1 Instances,0.0,0.825,0.175,0.1779
AMZN,2021-10-26,04:02PM,Newly renovated Amazon warehouse in Simi Valley sells for $128M,0.0,0.841,0.159,0.1779
AMZN,2021-10-26,02:40PM,Amazon Labor Union Pres. on milestone in unionization efforts,0.0,0.825,0.175,0.1779
AMZN,2021-10-26,01:58PM,Nashville Yards developer unveils five new retail tenants for Amazon tower,0.0,0.855,0.145,0.1779
AMZN,2021-10-26,01:46PM,"Amazon earnings preview: With hundreds of thousands of job openings, labor will be in focus",0.0,0.892,0.108,0.1779
AMZN,2021-10-26,01:40PM,Amazons Kuiper Satellite Unit Strikes Deal With Verizon for Rural Broadband,0.286,0.714,0.0,-0.3818
AMZN,2021-10-26,01:30PM,Heres Why Amazon (AMZN) Remains to be a Great Investment Option,0.0,0.608,0.392,0.7003
AMZN,2021-10-26,01:15PM,Is Walmart the New Costco?,0.0,1.0,0.0,0.0
AMZN,2021-10-26,01:10PM,Why CrowdStrike Holdings Jumped Nearly 5% Today,0.0,1.0,0.0,0.0
AMZN,2021-10-26,12:57PM,"Raytheon lost millions in Afghanistan pullout, and other takeaways from Q3",0.187,0.813,0.0,-0.3182
AMZN,2021-10-26,12:09PM,On Her Majestys Secret Server: how the spooks recruited Big Tech,0.0,1.0,0.0,0.0
AMZN,2021-10-26,11:58AM,PetMed Express Earnings: Its Bite Is Worse Than Its Bark,0.256,0.744,0.0,-0.4767
AMZN,2021-10-26,11:03AM,Will Solid AWS Momentum Aid Amazon's (AMZN) Q3 Earnings?,0.0,0.833,0.167,0.1531
