key,val
original,193
SpaceX,145
launch,96
Falcon,93
Retrieved1,87
first,83
9,75
Space,73
May,71
March,65
2017.,55
February,54
June,49
December,45
2020.,44
Dragon,43
The,41
April,40
1,40
rocket,39
September,39
2021.,38
company,37
July,35
January,34
NASA,34
November,32
August,32
Musk,31
launched,28
satellite,27
test,27
Archived,26
fromthe,25
Starship,24
Starlink,24
commercial,23
space,23
Force,22
million,22
Crew,22
private,21
launches,21
Launch,21
landing,20
2019.,20
originalon,20
development,20
2,20
orbital,20
17,20
October,19
cargo,19
flight,19
SpaceX's,19
contract,19
U.S.,18
new,18
spacecraft,18
SpaceX.,18
billion,17
Musk's,17
article,17
Air,16
20,16
Heavy,16
successfully,16
Elon,16
3,15
TfM›This,15
incorporates,15
text,15
vehicle,15
"source,",15
2018.,15
thepublic,15
also,15
2016.,14
–,14
mission,14
approximately,14
6,14
contracts,14
Retrieved31,14
30,14
announced,13
19,13
12,13
missions,13
used,13
early,13
crew,13
16,13
28,13
theInternational,13
provide,13
companies,13
23,12
awarded,12
since,12
In,12
27,12
7,12
crewed,12
facility,11
stage,11
three,11
Los,11
one,11
Earth,11
would,11
21,11
engine,11
satellites,11
New,10
two,10
"March2017.^""SpaceX",10
22,10
Flight,10
Commercial,10
dead,10
13,10
ISS,10
18,10
send,10
Spaceflight,10
spaceport,10
rockets,10
reusable,9
Eric,9
4,9
Test,9
"2020,",9
cost,9
drone,9
successful,9
Retrieved2,9
26,9
2020.Archivedfrom,9
constellation,9
astronauts,9
States,9
"2019,",9
Retrieved16,9
orbit,8
second,8
2020,8
Times.Archivedfrom,8
total,8
use,8
Angeles,8
"9,",8
Retrieved21,8
Boring,8
"identifiers"",""Articles",8
articles,8
following,8
"2015,",8
2019.Archivedfrom,8
identifiersArticles,8
part,8
11,8
based,8
"2021,",8
equity,8
additional,8
SpaceNews.Archivedfrom,8
station,8
valuation,8
develop,8
flights,8
transport,8
York,7
29,7
Rocket,7
5,7
nearly,7
Texas,7
p.,7
booster,7
International,7
began,7
Retrieved17,7
(4,7
operated,7
large,7
"orbit,",7
31,7
internet,7
Exploration,7
market,7
(27,7
American,7
2012.,7
"SpaceX,",7
global,7
(21,7
&,7
"2012,",7
developed,7
Retrieved29,7
using,7
2011.,7
United,7
SpaceNews.,7
XL,6
"2016).""SpaceX",6
time,6
Station,6
vehicles,6
"2021).""SpaceX",6
Retrieved3,6
privately,6
achieved,6
operates,6
could,6
costs,6
business,6
manufacturing,6
Canaveral,6
Mars,6
plans,6
"Dragon,",6
site,6
program,6
theDragon,6
developing,6
(15,6
2015.,6
national,6
service,6
funding,6
10,6
8,6
security,6
Technologies,6
system,6
News.Archivedfrom,6
.citation,6
For,6
testing,6
Greater,6
Retrieved28,6
Complex,6
de,6
established,6
containing,6
(25,6
2019,6
raised,6
number,6
"2017,",6
reused,6
external,6
Company.,6
Morrow,6
(2021).Liftoff.William,6
1em,6
worth,6
0.4em,6
2016,6
15,6
CRS,6
Development,6
payload,5
2017,5
Michael,5
"a,.mw-parser-output",5
All,5
another,5
achievements,5
estimated,5
Services,5
2008.,5
aerospace,5
started,5
recovery,5
(16,5
NASA.Archivedfrom,5
2015,5
Selding,5
(22,5
(20,5
It,5
reuse,5
"time,",5
As,5
engines,5
0.4em}.mw-parser-output,5
Retrieved22,5
technology,5
Retrieved20,5
|,5
2013.,5
late,5
Business,5
December2020.‹See,5
2014.,5
article:SpaceX,5
operational,5
series,5
Orbital,5
original(PDF)on,5
(2,5
ULA,5
Demo,5
become,5
25,5
This,5
/,5
around,5
theWayback,5
B.,5
resupply,5
Gateway,5
several,5
"Musk,",5
competition,5
Block,5
"missions,",5
wins,5
largest,5
four,5
"2018,",5
(19,5
Retrieved15,5
construction,4
Resupply,4
low,4
Atlantic,4
return,4
"facility,",4
allowed,4
monopoly,4
Now.Archivedfrom,4
"launches,",4
major,4
10%,4
Retrieved30,4
Hyperloop,4
held,4
operation,4
conducted,4
Retrieved4,4
Notice,4
D:,4
year,4
Security,4
support,4
Logistics,4
Act,4
capable,4
orbits.,4
Internet,4
escape,4
delivering,4
lb),4
set,4
production,4
"flight,",4
pricing,4
designed,4
2010,4
"spacecraft,",4
Transportation,4
launching,4
certified,4
conduct,4
payloads,4
theUnited,4
Cape,4
aFalcon,4
design,4
"company,",4
services,4
supplies,4
McGregor,4
March2017.‹See,4
Retrieved6,4
2012,4
times,4
"million,",4
COTS,4
purchase,4
Tesla,4
2019First,4
Hawthorne,4
returned,4
NASA's,4
2006,4
abort,4
six,4
Retrieved11,4
Missile,4
"2016,",4
0.1em,4
theFalcon,4
"2014).""SpaceX",4
National,4
Popular,4
spaceflight,4
Retrieved14,4
potentially,4
Technica.Archivedfrom,4
Musk:,4
fully,4
2014,4
Mission,4
GPS,4
(9,4
Retrieved5,4
Future,4
Belfiore,4
(30,4
2018,4
24,4
reach,4
"2020).""SpaceX",4
"launch,",4
no-repeat}.mw-parser-output,4
Space.com.,4
dated,4
14,4
(17,4
(10,4
NASA.,4
transportation,4
Journal.Archivedfrom,4
record,4
"2016).""Elon",4
liquid-fueled,3
world's,3
California,3
Of,3
least,3
end,3
transfer,3
Co.,3
launches.,3
2017.Archivedfrom,3
put,3
$100,3
demonstration,3
2008,3
purchased,3
California.,3
many,3
docked,3
last,3
ServicesCommercial,3
even,3
(18,3
"March2017.^""NASA",3
oil,3
km,3
company's,3
final,3
lower,3
orbital-class,3
President,3
"vehicle,",3
"1,",3
"County,",3
(13,3
Most,3
stated,3
single,3
No.,3
"inHawthorne,",3
vehicle.,3
reached,3
first-stage,3
ten,3
"SpaceX"".",3
2018.Archivedfrom,3
Now.,3
"March2017.^""Falcon",3
aimed,3
research,3
office,3
rocket's,3
Its,3
Petersen,3
March2017.[permanent,3
Million,3
Form,3
March2017.^Peter,3
"2010,",3
"program,",3
"2011,",3
related,3
static,3
million.,3
Gwynne,3
To,3
Research,3
solid,3
2017First,3
history,3
capabilities,3
training,3
Success,3
Historic,3
Billion,3
(12,3
modified,3
"launch"".",3
"contract,",3
Press,3
CNBC.Archivedfrom,3
kg,3
