negative,positive,uncertainty,litigious,constraining,interesting,word
True,False,False,False,False,False,abandon
True,False,False,False,False,False,abandonment
True,False,False,False,False,False,abandonments
True,False,False,False,False,False,abdicate
True,False,False,False,False,False,abdication
True,False,False,False,False,False,abdications
True,False,False,False,False,False,aberrant
True,False,False,False,False,False,aberration
True,False,False,False,False,False,aberrational
True,False,False,False,False,False,aberrations
True,False,False,False,False,False,abet
False,False,True,False,False,False,abeyance
False,False,True,False,False,False,abeyances
False,False,False,False,True,False,abide
False,True,False,False,False,False,able
True,False,False,False,False,False,abnormal
True,False,False,False,False,False,abnormalities
True,False,False,False,False,False,abnormality
True,False,False,False,False,False,abnormally
True,False,False,False,False,False,abolish
False,False,False,True,False,False,abovementioned
True,False,False,True,False,False,abrogate
True,False,False,True,False,False,abrogation
True,False,False,True,False,False,abrogations
True,False,False,False,False,False,abrupt
True,False,False,False,False,False,abruptly
True,False,False,False,False,False,abruptness
True,False,False,False,False,False,absence
True,False,False,False,False,False,absences
True,False,False,False,False,False,absenteeism
False,False,False,True,False,False,absolve
False,True,False,False,False,False,abundance
False,True,False,False,False,False,abundant
True,False,False,False,False,False,abuse
True,False,False,False,False,False,abusive
True,False,False,False,False,False,abusively
True,False,False,False,False,False,abusiveness
False,False,False,True,False,False,accession
True,False,False,False,False,False,accident
True,False,False,False,False,False,accidental
True,False,False,False,False,False,accidentally
True,False,False,False,False,False,accidents
False,True,False,False,False,False,acclaim
False,True,False,False,False,False,accomplish
False,True,False,False,False,False,accomplishment
False,True,False,False,False,False,accomplishments
True,False,False,False,False,False,accusation
True,False,False,False,False,False,accusations
True,False,False,False,False,False,accuse
False,True,False,False,False,False,achieve
False,True,False,False,False,False,achievement
False,True,False,False,False,False,achievements
True,False,False,False,False,False,acquiesce
False,False,False,True,False,False,acquire
False,False,False,True,False,False,acquirors
True,False,False,True,False,False,acquit
True,False,False,True,False,False,acquittal
True,False,False,True,False,False,acquittals
False,False,False,True,False,False,acquittance
False,False,False,True,False,False,acquittances
False,False,False,True,False,False,addendums
False,True,False,False,False,False,adequately
False,False,False,True,False,False,adjourn
False,False,False,True,False,False,adjournment
False,False,False,True,False,False,adjournments
False,False,False,True,False,False,adjudge
False,False,False,True,False,False,adjudicate
False,False,False,True,False,False,adjudication
False,False,False,True,False,False,adjudications
False,False,False,True,False,False,adjudicative
False,False,False,True,False,False,adjudicator
False,False,False,True,False,False,adjudicators
False,False,False,True,False,False,adjudicatory
False,False,False,True,False,False,admissibility
False,False,False,True,False,False,admissible
False,False,False,True,False,False,admissibly
