word,count
original,193
spacex,145
launch,96
falcon,93
retrieved1,87
first,83
9,75
may,71
march,65
2017.,55
february,54
june,50
december,45
2020.,44
dragon,42
the,41
1,41
september,41
april,40
rocket,39
2021.,38
company,37
july,35
january,34
nasa,34
august,32
november,32
musk,31
satellite,27
archive,26
fromthe,25
starship,24
starlink,24
space,23
commercial,23
million,22
force,22
crew,21
private,21
land,20
2019.,20
development,20
orbital,20
october,20
17,20
2,20
originalon,20
cargo,19
flight,19
spacex's,19
spacex.,18
new,18
u.s.,18
spacecraft,18
musk's,17
billion,17
20,16
successfully,16
elon,16
heavy,16
air,16
2018.,15
also,15
vehicle,15
3,15
text,15
"source,",15
thepublic,15
2016.,14
–,14
retrieved31,14
approximately,14
mission,14
6,14
30,14
contract,14
missions,13
theinternational,13
early,13
provide,13
19,13
announce,13
16,13
28,13
23,13
27,12
in,12
since,12
award,12
7,12
12,12
would,11
21,11
earth,11
engine,11
three,11
los,11
one,11
stage,11
spaceport,10
18,10
dead,10
two,10
send,10
eric,10
22,10
iss,10
13,10
"march2017.^""spacex",10
retrieved2,9
"2020,",9
26,9
successful,9
2020.archivedfrom,9
reusable,9
test,9
astronauts,9
retrieved16,9
drone,9
4,9
constellation,9
"2019,",9
transport,8
11,8
"9,",8
identifiersarticles,8
bore,8
second,8
equity,8
orbit,8
valuation,8
retrieved21,8
2020,8
"2021,",8
part,8
total,8
times.archivedfrom,8
angeles,8
base,8
2019.archivedfrom,8
"identifiers"",""articles",8
additional,8
spacenews.archivedfrom,8
"2015,",8
follow,8
retrieved29,7
"orbit,",7
2011.,7
spacenews.,7
unite,7
market,7
2012.,7
"2021).""spacex",7
internet,7
"2012,",7
(27,7
(4,7
&,7
texas,7
begin,7
use,7
international,7
york,7
nearly,7
p.,7
(21,7
large,7
exploration,7
booster,7
operate,7
retrieved17,7
31,7
global,7
"spacex,",7
american,7
5,7
2015.,6
29,6
0.4em,6
station,6
site,6
news.archivedfrom,6
privately,6
mar,6
business,6
article,6
system,6
"2017,",6
external,6
could,6
de,6
2016,6
worth,6
xl,6
(15,6
raise,6
cost,6
number,6
2019,6
technologies,6
national,6
(2021).liftoff.william,6
for,6
"dragon,",6
retrieved3,6
crs,6
fund,6
"2016).""spacex",6
(19,6
.citation,6
10,6
achieve,6
canaveral,6
greater,6
complex,6
(25,6
time,6
morrow,6
program,6
contain,6
1em,6
thedragon,6
vehicles,6
15,6
8,6
develop,6
establish,6
service,6
retrieved28,6
company.,6
security,6
(20,5
late,5
2013.,5
december2020.this,5
payload,5
achievements,5
estimate,5
b.,5
"musk,",5
selding,5
25,5
resupply,5
competition,5
around,5
original(pdf)on,5
2008.,5
(2,5
"time,",5
recovery,5
operational,5
several,5
this,5
(16,5
demo,5
largest,5
reuse,5
ula,5
14,5
thewayback,5
series,5
another,5
as,5
2014.,5
four,5
0.4em}.mw-parser-output,5
michael,5
engines,5
all,5
"a,.mw-parser-output",5
retrieved20,5
retrieved22,5
"2018,",5
article:spacex,5
2015,5
it,5
(22,5
gateway,5
"missions,",5
|,5
technology,5
aerospace,5
retrieved15,5
nasa.archivedfrom,5
2017,5
/,5
block,5
retrieved30,4
orbits.,4
theunited,4
technica.archivedfrom,4
"flight,",4
gps,4
abort,4
production,4
missile,4
escape,4
retrieved4,4
potentially,4
retrieved14,4
support,4
act,4
design,4
cots,4
"company,",4
conduct,4
2010,4
retrieved5,4
lb),4
capable,4
allow,4
space.com.,4
cape,4
spaceflight,4
afalcon,4
(12,4
(9,4
retrieved6,4
march2017.this,4
(3,4
belfiore,4
2019first,4
tesla,4
fully,4
plan,4
retrieved11,4
certify,4
price,4
hold,4
no-repeat}.mw-parser-output,4
2006,4
0.1em,4
mcgregor,4
musk:,4
"spacecraft,",4
hawthorne,4
now.archivedfrom,4
(30,4
monopoly,4
purchase,4
(17,4
return,4
"2016,",4
"2020).""spacex",4
thefalcon,4
supply,4
"million,",4
year,4
transportation,4
atlantic,4
"launches,",4
2012,4
operation,4
low,4
10%,4
(10,4
payloads,4
24,4
notice,4
"facility,",4
d:,4
"2016).""elon",4
major,4
"2014).""spacex",4
construction,4
"launch,",4
journal.archivedfrom,4
logistics,4
hyperloop,4
nasa's,4
2018,4
nasa.,4
record,4
six,4
reach,4
set,4
2014,4
history,3
google,3
least,3
soon,3
work,3
research,3
by,3
2021,3
washington,3
kg,3
thus,3
subsidies,3
even,3
"land,",3
big,3
articles:spacex,3
modify,3
march2017.[permanent,3
"tesla,",3
end,3
company's,3
vehicle.,3
merlin,3
power,3
"1,",3
demonstration,3
"vehicle,",3
petersen,3
km,3
like,3
retrieved8,3
almost,3
superdraco,3
march2017.^peter,3
static,3
"2015).""spacex",3
oil,3
launches.,3
"rocket,",3
state,3
to,3
lower,3
"crew,",3
transfer,3
that,3
break,3
release).,3
future,3
put,3
$100,3
(13,3
of,3
explosion,3
"spacex"".",3
make,3
manifest,3
deliver,3
its,3
jeff,3
initial,3
2018.archivedfrom,3
texas.,3
with,3
south,3
60,3
world's,3
fire,3
city,3
"securities"".sec.gov.",3
exempt,3
co.,3
cause,3
street,3
"4,425",3
aviation,3
us$12,3
propellant,3
provider,3
military,3
sq,3
ft,3
m2),3
cnn.archivedfrom,3
nine,3
"2014,",3
indicate,3
customers,3
extend,3
2021.archivedfrom,3
(28,3
rocket's,3
2017first,3
locate,3
servicescommercial,3
2008,3
employees,3
"2010,",3
jonathan,3
relate,3
user's,3
shotwell,3
(5,3
larger,3
resources,3
final,3
brightness,3
retire,3
gwynne,3
capabilities,3
"contract,",3
"test,",3
techcrunch.archivedfrom,3
single,3
berth,3
x,3
spacex.archivedfrom,3
orbital-class,3
most,3
"program,",3
"2011,",3
systems,3
first-stage,3
ten,3
many,3
steve,3
liquid-fueled,3
office,3
all-civilian,3
retrieved19,3
(24,3
2017.archivedfrom,3
from,3
cnbc.archivedfrom,3
chairman,3
"chica,",3
former,3
2012.archivedfrom,3
mechanics.archivedfrom,3
short,3
ceo,3
california,3
"starship,",3
"march2017.^""falcon",3
press,3
now.,3
public,3
"launch"".",3
