SpaceX,145
-,1
"Wikipediadocument.documentElement.className=""client-js"";RLCONF={""wgBreakFrames"":!1,""wgSeparatorTransformTable"":["""",""""],""wgDigitTransformTable"":["""",""""],""wgDefaultDateFormat"":""dmy"",""wgMonthNames"":["""",""January"",""February"",""March"",""April"",""May"",""June"",""July"",""August"",""September"",""October"",""November"",""December""],""wgRequestId"":""0998285a-8938-4fb2-9b13-949b9b61720d"",""wgCSPNonce"":!1,""wgCanonicalNamespace"":"""",""wgCanonicalSpecialPageName"":!1,""wgNamespaceNumber"":0,""wgPageName"":""SpaceX"",""wgTitle"":""SpaceX"",""wgCurRevisionId"":1049877423,""wgRevisionId"":1049877423,""wgArticleId"":832774,""wgIsArticle"":!0,""wgIsRedirect"":!1,""wgAction"":""view"",""wgUserName"":null,""wgUserGroups"":[""*""],""wgCategories"":[""Webarchive",1
template,2
wayback,2
"links"",""Source",1
"attribution"",""All",1
articles,6
dead,10
external,6
"links"",""Articles",1
links,3
August,32
"2021"",""Articles",1
permanently,2
"links"",""CS1",1
maint:,3
bot:,3
original,193
URL,3
status,3
"unknown"",""CS1",1
errors:,2
missing,2
"periodical"",""Articles",1
short,3
"description"",",1
"""Short",1
description,2
matches,2
"Wikidata"",""Wikipedia",1
pages,2
semi-protected,2
"vandalism"",""Use",1
American,7
English,2
"2019"",""All",1
Wikipedia,2
written,2
"English"",""Use",1
dmy,2
dates,2
September,41
"2020"",""Coordinates",1
"Wikidata"",""Pages",1
using,7
infobox,2
company,37
trading,2
"name"",""Articles",1
containing,6
potentially,4
dated,4
statements,2
October,20
"2012"",""All",1
"statements"",""Commons",1
category,2
link,2
"Wikidata"",""Articles",1
GND,2
"identifiers"",""Articles",8
ISNI,2
VIAF,2
BIBSYS,2
LCCN,2
NKC,2
NLI,2
WORLDCATID,2
video,2
"clips"",""SpaceX"",""2002",1
establishments,2
"California"",""Aerospace",1
companies,13
United,7
"States"",""American",1
established,6
"2002"",""Commercial",1
launch,96
service,6
"providers"",""Companies",1
based,8
Los,11
Angeles,8
"County,",3
"California"",""Elon",1
"Musk"",",1
"""Hawthorne,",1
"California"",""Hyperloop"",""Manufacturing",1
Greater,6
"Angeles"",""Manufacturing",1
"2002"",""Private",1
spaceflight,4
"companies"",""Science",1
technology,5
"Angeles"",""Spacecraft",1
"manufacturers"",""Technology",1
"Angeles"",""Technology",1
