word,count,negative,positive,uncertainty,litigious,constraining,interesting
may,71,False,False,True,False,False,False
march,65,False,False,False,False,False,True
august,32,False,False,False,False,False,True
force,22,True,False,False,False,False,False
successfully,16,False,True,False,False,False,False
approximately,14,False,False,True,False,False,False
contract,14,False,False,False,True,False,False
successful,9,False,True,False,False,False,False
nearly,7,False,False,True,False,False,False
could,6,False,False,True,False,False,False
achieve,6,False,True,False,False,False,False
greater,6,False,True,False,False,False,False
late,5,True,False,False,False,False,False
achievements,5,False,True,False,False,False,False
monopoly,4,True,False,False,False,False,False
almost,3,False,False,True,False,False,False
break,3,True,False,False,False,False,False
fire,3,True,False,False,False,False,False
press,3,True,False,False,False,False,False
cut,3,True,False,False,False,False,False
success,3,False,True,False,False,False,False
acquire,2,False,False,False,True,False,False
dream,2,False,True,False,False,False,False
restructure,2,True,False,False,False,False,False
permit,2,False,False,False,False,True,False
miss,2,True,False,False,False,False,False
decrease,2,False,False,False,False,False,True
highest,2,False,True,False,False,False,False
lead,2,False,True,False,False,False,False
honor,1,False,True,False,False,False,False
hinge,1,False,False,True,False,False,False
die,1,False,False,False,False,False,True
unknown,1,False,False,True,False,False,False
good,1,False,True,False,False,False,False
valuable,1,False,True,False,False,False,False
upset,1,True,False,False,False,False,False
probable,1,False,False,True,False,False,False
undercut,1,True,False,False,False,False,False
win,1,False,True,False,False,False,False
destroy,1,True,False,False,False,False,False
lose,1,True,False,False,False,False,False
question,1,True,False,False,False,False,False
abandon,1,True,False,False,False,False,False
fantastic,1,False,True,False,False,False,False
random,1,False,False,True,False,False,False
harm,1,True,False,False,False,False,False
unexpected,1,True,False,True,False,False,False
pose,1,True,False,False,False,False,False
collaborate,1,False,True,False,False,False,False
fear,1,True,False,False,False,False,False
ban,1,False,False,False,False,False,True
secret,1,False,False,False,False,False,True
unsuccessful,1,True,False,False,False,False,False
increase,1,False,False,False,False,False,True
breach,1,True,False,False,True,False,False
permission,1,False,False,False,False,True,False
failure,1,True,False,False,False,False,False
problem,1,True,False,False,False,False,False
object,1,True,False,False,False,False,False
popular,1,False,True,False,False,False,False
enable,1,False,True,False,False,False,False
bankrupt,1,True,False,False,False,False,False
failures,1,True,False,False,False,False,False
commit,1,False,False,False,False,True,False
regain,1,False,True,False,False,False,False
improve,1,False,True,False,False,False,False
fail,1,True,False,False,False,False,False
believe,1,False,False,True,False,False,False
require,1,False,False,False,False,True,False
depend,1,False,False,True,False,True,False
creative,1,False,True,False,False,False,False
possible,1,False,False,True,False,False,False
improvement,1,False,True,False,False,False,False
charitable,1,False,True,False,False,False,False
requirements,1,False,False,False,False,True,False
anticipate,1,False,False,True,False,False,False
testimony,1,False,False,False,True,False,False
requirement,1,False,False,False,False,True,False
stress,1,True,False,False,False,False,False
supersede,1,False,False,False,True,False,False
profitability,1,False,True,False,False,False,False
drastically,1,True,False,False,False,False,False
variant,1,False,False,True,False,False,False
improvements,1,False,True,False,False,False,False
unusual,1,False,False,True,False,False,False
collisions,1,True,False,False,False,False,False
criticize,1,True,False,False,False,False,False
concern,1,True,False,False,False,False,False
interfere,1,True,False,False,False,False,False
dangers,1,True,False,False,False,False,False
collaboration,1,False,True,False,False,False,False
suggest,1,False,False,True,False,False,False
