Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-03-30,605.0,644.0,604.0,644.0,223679,0,0
2012-04-02,649.5,659.5,646.5,655.0,213267,0,0
2012-04-03,654.0,665.75,652.0,658.25,185188,0,0
2012-04-04,661.0,663.75,650.75,656.75,158821,0,0
2012-04-05,657.0,663.25,654.75,658.25,20,0,0
2012-04-09,656.0,664.25,648.5,649.0,150881,0,0
2012-04-10,649.5,653.75,634.5,634.75,235172,0,0
2012-04-11,636.5,639.75,631.0,636.0,183534,0,0
2012-04-12,637.0,644.5,636.5,637.5,191727,0,0
2012-04-13,640.0,641.75,624.25,629.25,187477,0,0
2012-04-16,626.75,629.0,621.0,623.25,125988,0,0
2012-04-17,623.0,628.0,615.75,616.75,122019,0,0
2012-04-18,617.0,618.25,599.5,601.75,184234,0,0
2012-04-19,603.75,623.0,603.5,621.0,104316,0,0
2012-04-20,621.0,628.5,609.5,612.5,102915,0,0
2012-04-23,613.25,622.5,610.25,622.5,73631,0,0
2012-04-24,622.25,632.0,615.5,618.25,92630,0,0
2012-04-25,617.25,627.25,610.5,611.0,101004,0,0
2012-04-26,614.0,625.0,609.75,624.0,104596,0,0
2012-04-27,625.25,655.5,624.25,653.0,87996,0,0
2012-04-30,652.25,661.0,644.0,660.25,27347,0,0
2012-05-01,659.25,665.5,651.0,659.75,13603,0,0
2012-05-02,659.0,659.0,640.25,642.25,6910,0,0
2012-05-03,645.25,654.0,640.0,650.75,3671,0,0
2012-05-04,652.0,674.0,647.5,662.25,4698,0,0
2012-05-07,663.25,669.75,658.75,665.0,4523,0,0
2012-05-08,669.25,685.75,664.25,666.0,3092,0,0
2012-05-09,666.5,666.75,639.75,641.25,1286,0,0
2012-05-10,647.25,652.5,621.0,625.5,1544,0,0
2012-05-11,626.0,629.5,600.0,608.0,1769,0,0
2012-05-14,616.0,624.5,608.0,608.0,106879,0,0
2012-05-15,582.5,597.75,581.5,597.25,113590,0,0
2012-05-16,597.0,620.75,590.75,620.0,153375,0,0
2012-05-17,619.0,626.5,616.25,625.0,131642,0,0
2012-05-18,622.75,638.5,619.5,635.5,167427,0,0
2012-05-21,638.25,644.5,628.75,633.0,128305,0,0
2012-05-22,629.0,634.75,595.0,597.0,188940,0,0
2012-05-23,601.25,611.0,588.5,603.5,165565,0,0
2012-05-24,605.25,609.0,576.75,578.5,184176,0,0
2012-05-25,583.0,589.5,573.25,578.5,147037,0,0
2012-05-29,580.0,583.75,557.0,562.5,177673,0,0
2012-05-30,563.75,568.25,553.5,559.5,148989,0,0
2012-05-31,560.0,564.0,553.75,555.25,153342,0,0
2012-06-01,557.75,579.5,551.0,551.5,177025,0,0
2012-06-04,560.25,569.25,557.75,568.0,91835,0,0
2012-06-05,568.0,575.75,560.5,567.5,155718,0,0
2012-06-06,569.25,586.5,569.0,586.25,129366,0,0
2012-06-07,585.75,601.5,584.5,594.0,161002,0,0
2012-06-08,593.0,605.5,585.25,598.0,155163,0,0
2012-06-11,598.5,603.75,588.75,592.0,139081,0,0
2012-06-12,595.0,599.0,575.5,584.0,153108,0,0
2012-06-13,582.25,601.75,575.5,592.5,214591,0,0
2012-06-14,592.0,608.5,591.75,601.5,144137,0,0
2012-06-15,600.0,605.0,579.25,579.5,153416,0,0
2012-06-18,584.75,607.25,576.25,599.5,136335,0,0
