Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-03-30,129.890625,130.0625,129.265625,129.484375,1109609,0,0
2012-04-02,129.4375,129.9375,129.171875,129.703125,979399,0,0
2012-04-03,129.765625,130.0625,128.8125,128.921875,1347783,0,0
2012-04-04,128.828125,129.546875,128.765625,129.375,1279353,0,0
2012-04-05,129.515625,130.28125,129.390625,129.96875,1133784,0,0
2012-04-09,131.3125,131.3125,130.890625,131.140625,599647,0,0
2012-04-10,131.0625,131.734375,130.921875,131.59375,1431352,0,0
2012-04-11,131.578125,131.59375,131.140625,131.328125,1124163,0,0
2012-04-12,131.265625,131.46875,131.0,131.140625,1130755,0,0
2012-04-13,131.125,131.671875,131.109375,131.53125,951602,0,0
2012-04-16,131.578125,131.90625,131.46875,131.6875,1023518,0,0
2012-04-17,131.625,131.78125,131.3125,131.421875,936471,0,0
2012-04-18,131.46875,131.6875,131.296875,131.5625,810236,0,0
2012-04-19,131.609375,131.8125,131.421875,131.765625,1010824,0,0
2012-04-20,131.65625,131.78125,131.453125,131.671875,713355,0,0
2012-04-23,131.71875,132.140625,131.703125,131.984375,807118,0,0
2012-04-24,131.953125,132.109375,131.65625,131.78125,867154,0,0
2012-04-25,131.6875,131.78125,131.1875,131.6875,1280299,0,0
2012-04-26,131.71875,132.125,131.59375,131.921875,1118473,0,0
2012-04-27,132.09375,132.53125,131.9375,132.15625,1017218,0,0
2012-04-30,132.140625,132.375,132.0,132.28125,646990,0,0
2012-05-01,132.234375,132.40625,131.921875,131.96875,804991,0,0
2012-05-02,132.0625,132.40625,131.859375,132.1875,988532,0,0
2012-05-03,132.15625,132.296875,131.921875,132.1875,812849,0,0
2012-05-04,132.125,132.703125,131.984375,132.640625,1299349,0,0
2012-05-07,132.78125,133.0625,132.609375,132.640625,645295,0,0
2012-05-08,132.640625,133.125,132.59375,132.921875,1024459,0,0
2012-05-09,132.875,133.265625,132.828125,132.90625,1247003,0,0
2012-05-10,132.9375,133.03125,132.546875,132.78125,1178319,0,0
2012-05-11,133.0,133.140625,132.875,133.078125,780782,0,0
2012-05-14,133.125,133.609375,133.09375,133.421875,1000344,0,0
2012-05-15,133.53125,133.609375,133.203125,133.375,1277242,0,0
2012-05-16,133.46875,133.59375,133.015625,133.421875,1396129,0,0
2012-05-17,133.421875,133.8125,133.15625,133.765625,1361755,0,0
2012-05-18,133.71875,133.84375,133.484375,133.8125,1187271,0,0
2012-05-21,133.609375,133.75,133.359375,133.625,819124,0,0
2012-05-22,133.578125,133.578125,133.125,133.3125,1218294,0,0
2012-05-23,133.46875,133.890625,133.390625,133.796875,1357619,0,0
2012-05-24,133.640625,133.890625,133.34375,133.546875,1908575,0,0
2012-05-25,133.40625,133.84375,133.328125,133.765625,1269599,0,0
2012-05-29,133.75,134.0625,133.484375,133.828125,2441823,0,0
2012-05-30,133.671875,134.78125,133.65625,134.671875,1624141,0,0
2012-05-31,134.65625,135.265625,134.4375,134.90625,465590,0,0
2012-06-01,135.046875,135.90625,134.9375,135.65625,174099,0,0
2012-06-04,135.65625,135.84375,134.984375,135.0,55905,0,0
2012-06-05,135.109375,135.15625,134.625,134.796875,41120,0,0
2012-06-06,134.671875,134.859375,134.046875,134.1875,56137,0,0
2012-06-07,134.140625,134.4375,134.0625,134.296875,24208,0,0
2012-06-08,134.390625,135.015625,134.3125,134.34375,15596,0,0
2012-06-11,133.9375,134.78125,133.4375,134.640625,14437,0,0
2012-06-12,134.765625,134.765625,134.078125,134.109375,8532,0,0
2012-06-13,134.203125,134.625,133.859375,134.5625,11136,0,0
2012-06-14,134.609375,134.625,134.09375,134.359375,12983,0,0
2012-06-15,134.4375,134.765625,134.34375,134.609375,5778,0,0
