Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-03-30,1355.5,1416.0,1353.5,1403.0,157501,0,0
2012-04-02,1407.0,1433.75,1406.5,1421.0,136790,0,0
2012-04-03,1421.0,1434.25,1414.0,1416.75,100870,0,0
2012-04-04,1414.5,1429.75,1408.25,1419.5,126375,0,0
2012-04-05,1420.0,1434.25,1414.75,1434.0,10,0,0
2012-04-09,1431.0,1446.75,1423.5,1431.0,89287,0,0
2012-04-10,1431.0,1452.25,1421.75,1426.0,163221,0,0
2012-04-11,1428.0,1431.25,1415.0,1422.0,102354,0,0
2012-04-12,1423.25,1444.5,1420.0,1441.0,106415,0,0
2012-04-13,1442.5,1447.75,1431.25,1436.75,109436,0,0
2012-04-16,1434.5,1435.75,1415.5,1420.0,84110,0,0
2012-04-17,1420.25,1434.5,1418.25,1425.75,89852,0,0
2012-04-18,1425.0,1434.0,1403.75,1407.75,68118,0,0
2012-04-19,1409.25,1430.0,1407.0,1415.75,72457,0,0
2012-04-20,1415.25,1454.0,1413.0,1446.75,90809,0,0
2012-04-23,1446.0,1453.0,1436.0,1437.25,58926,0,0
2012-04-24,1437.0,1467.5,1433.75,1461.25,56841,0,0
2012-04-25,1461.0,1493.0,1461.0,1473.5,57852,0,0
2012-04-26,1473.0,1481.5,1463.0,1481.25,62414,0,0
2012-04-27,1483.25,1509.0,1483.25,1496.75,33163,0,0
2012-04-30,1490.25,1503.75,1480.25,1503.0,18637,0,0
2012-05-01,1500.25,1500.25,1487.5,1497.75,9507,0,0
2012-05-02,1494.75,1508.25,1478.0,1480.0,5415,0,0
2012-05-03,1477.0,1482.75,1461.0,1468.75,3420,0,0
2012-05-04,1468.75,1475.0,1458.0,1475.0,2145,0,0
2012-05-07,1472.0,1472.75,1458.0,1463.5,1258,0,0
2012-05-08,1466.75,1466.75,1434.5,1437.75,1806,0,0
2012-05-09,1435.0,1435.5,1411.0,1427.75,1698,0,0
2012-05-10,1427.5,1455.0,1427.5,1452.25,283,0,0
2012-05-11,1448.0,1448.0,1402.75,1404.0,796,0,0
2012-05-14,1400.0,1400.0,1373.5,1390.0,148835,0,0
2012-05-15,1385.5,1415.75,1380.0,1413.0,138598,0,0
2012-05-16,1413.5,1423.0,1386.25,1422.0,131249,0,0
2012-05-17,1423.75,1449.75,1420.25,1438.0,107784,0,0
2012-05-18,1435.0,1438.75,1405.0,1405.0,88009,0,0
2012-05-21,1413.75,1423.0,1408.5,1412.5,73082,0,0
2012-05-22,1410.75,1417.75,1375.0,1382.25,117953,0,0
2012-05-23,1382.5,1382.75,1351.0,1362.5,124246,0,0
2012-05-24,1367.5,1387.75,1367.5,1376.0,84911,0,0
2012-05-25,1380.0,1386.5,1371.5,1382.0,65113,0,0
2012-05-29,1383.0,1402.0,1379.25,1386.75,81906,0,0
2012-05-30,1388.0,1394.5,1364.25,1373.25,86184,0,0
2012-05-31,1377.25,1377.5,1339.5,1340.0,113433,0,0
2012-06-01,1340.75,1358.0,1317.5,1344.25,122529,0,0
2012-06-04,1350.0,1355.75,1331.5,1340.0,76619,0,0
2012-06-05,1340.5,1360.25,1340.5,1349.5,81935,0,0
2012-06-06,1353.5,1392.0,1352.75,1386.25,102726,0,0
2012-06-07,1386.0,1430.0,1383.25,1428.0,113429,0,0
2012-06-08,1425.25,1439.0,1408.25,1426.25,118117,0,0
2012-06-11,1426.0,1445.5,1418.0,1424.75,81841,0,0
2012-06-12,1425.5,1449.25,1416.25,1435.0,114267,0,0
2012-06-13,1433.5,1437.5,1404.75,1408.25,96805,0,0
2012-06-14,1408.25,1415.75,1384.0,1386.0,83581,0,0
2012-06-15,1389.75,1401.5,1370.75,1376.0,92839,0,0
2012-06-18,1383.0,1396.25,1375.25,1384.25,88328,0,0
2012-06-19,1390.0,1451.5,1389.0,1433.75,118151,0,0
2012-06-20,1434.0,1447.25,1426.25,1446.5,75242,0,0
2012-06-21,1443.0,1456.5,1431.0,1438.5,73678,0,0
2012-06-22,1437.0,1464.25,1435.0,1442.5,64024,0,0
2012-06-25,1461.5,1491.25,1458.5,1482.5,52669,0,0
2012-06-26,1489.75,1496.75,1466.0,1470.5,43300,0,0
2012-06-27,1471.5,1497.5,1467.0,1471.0,43476,0,0
2012-06-28,1475.0,1481.0,1455.75,1466.0,37453,0,0
2012-06-29,1467.5,1517.75,1466.0,1512.75,19004,0,0
2012-07-02,1526.0,1542.0,1522.5,1532.25,9024,0,0
2012-07-03,1545.25,1578.0,1534.5,1572.25,4044,0,0
2012-07-05,1588.5,1644.5,1586.75,1626.5,6761,0,0
2012-07-06,1625.75,1634.75,1605.0,1619.75,4222,0,0
