Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-03-30,110.1796875,110.1796875,110.1328125,110.1484375,220119,0,0
2012-04-02,110.078125,110.1015625,110.0234375,110.09375,183135,0,0
2012-04-03,110.09375,110.09375,109.984375,110.0078125,272052,0,0
2012-04-04,110.0,110.0546875,109.9921875,110.0390625,209910,0,0
2012-04-05,110.0390625,110.078125,110.03125,110.046875,176125,0,0
2012-04-09,110.1171875,110.125,110.0859375,110.1171875,114037,0,0
2012-04-10,110.1171875,110.203125,110.109375,110.1875,361838,0,0
2012-04-11,110.1875,110.1953125,110.15625,110.1796875,204237,0,0
2012-04-12,110.171875,110.203125,110.1640625,110.1953125,153098,0,0
2012-04-13,110.1953125,110.234375,110.1875,110.21875,127145,0,0
2012-04-16,110.234375,110.2421875,110.2109375,110.2265625,219418,0,0
2012-04-17,110.234375,110.2421875,110.203125,110.21875,160317,0,0
2012-04-18,110.2265625,110.2421875,110.2109375,110.234375,151591,0,0
2012-04-19,110.234375,110.2421875,110.2265625,110.234375,121430,0,0
2012-04-20,110.234375,110.25,110.21875,110.234375,117257,0,0
2012-04-23,110.234375,110.2734375,110.234375,110.265625,185078,0,0
2012-04-24,110.2578125,110.265625,110.234375,110.25,147408,0,0
2012-04-25,110.2421875,110.265625,110.21875,110.25,213794,0,0
2012-04-26,110.2578125,110.2734375,110.25,110.2734375,112217,0,0
2012-04-27,110.265625,110.296875,110.25,110.265625,123601,0,0
2012-04-30,110.2578125,110.28125,110.2578125,110.2734375,121223,0,0
2012-05-01,110.28125,110.28125,110.2421875,110.2578125,151803,0,0
2012-05-02,110.2578125,110.28125,110.25,110.2578125,127609,0,0
2012-05-03,110.2578125,110.28125,110.25,110.265625,79846,0,0
2012-05-04,110.265625,110.2890625,110.2578125,110.28125,122419,0,0
2012-05-07,110.2734375,110.2890625,110.2578125,110.2734375,82474,0,0
2012-05-08,110.2734375,110.2890625,110.265625,110.28125,234676,0,0
2012-05-09,110.28125,110.296875,110.265625,110.28125,227367,0,0
2012-05-10,110.28125,110.2890625,110.265625,110.2734375,151711,0,0
2012-05-11,110.2734375,110.2890625,110.265625,110.2734375,102783,0,0
2012-05-14,110.2734375,110.2890625,110.2578125,110.265625,158335,0,0
2012-05-15,110.2734375,110.28125,110.2421875,110.2421875,272976,0,0
2012-05-16,110.25,110.25,110.2109375,110.21875,211531,0,0
2012-05-17,110.21875,110.2265625,110.1953125,110.1953125,162313,0,0
2012-05-18,110.203125,110.21875,110.1796875,110.203125,168572,0,0
2012-05-21,110.203125,110.21875,110.1796875,110.203125,170096,0,0
2012-05-22,110.203125,110.2109375,110.1875,110.1953125,223248,0,0
2012-05-23,110.2109375,110.234375,110.1953125,110.2265625,288071,0,0
2012-05-24,110.2265625,110.2265625,110.1953125,110.1953125,364089,0,0
2012-05-25,110.1953125,110.234375,110.1875,110.21875,395066,0,0
2012-05-29,110.2265625,110.234375,110.203125,110.2109375,506578,0,0
2012-05-30,110.2109375,110.2578125,110.203125,110.2421875,405411,0,0
2012-05-31,110.2421875,110.2734375,110.234375,110.2578125,144741,0,0
2012-06-01,110.2421875,110.296875,110.2265625,110.28125,33526,0,0
2012-06-04,110.2890625,110.3046875,110.265625,110.265625,17361,0,0
2012-06-05,110.2578125,110.2890625,110.2578125,110.2734375,23511,0,0
2012-06-06,110.2734375,110.2734375,110.234375,110.2421875,18054,0,0
2012-06-07,110.234375,110.2421875,110.2265625,110.234375,11384,0,0
2012-06-08,110.2421875,110.2578125,110.2265625,110.2265625,5126,0,0
2012-06-11,110.2265625,110.234375,110.2109375,110.21875,4400,0,0
2012-06-12,110.21875,110.234375,110.1875,110.1875,11956,0,0
2012-06-13,110.1953125,110.1953125,110.1796875,110.1796875,11977,0,0
2012-06-14,110.171875,110.1953125,110.171875,110.171875,4640,0,0
2012-06-15,110.1875,110.2109375,110.1796875,110.203125,3065,0,0
2012-06-18,110.1953125,110.203125,110.1875,110.1875,2793,0,0
2012-06-19,110.1875,110.203125,110.1875,110.1875,3602,0,0
2012-06-20,110.1796875,110.1875,110.140625,110.1484375,5037,0,0
2012-06-21,110.1640625,110.1640625,110.1484375,110.15625,8366,0,0
2012-06-22,110.140625,110.15625,110.1328125,110.1484375,8163,0,0
2012-06-25,110.140625,110.1640625,110.140625,110.15625,6744,0,0
2012-06-26,110.1484375,110.1640625,110.1484375,110.15625,11206,0,0
2012-06-27,110.1796875,110.1796875,110.1484375,110.15625,4095,0,0
2012-06-28,110.171875,110.171875,110.1484375,110.15625,2132,0,0
2012-06-29,110.140625,110.1484375,110.1328125,110.140625,164454,0,0
2012-07-02,110.109375,110.140625,110.0859375,110.1328125,177679,0,0
2012-07-03,110.125,110.1328125,110.078125,110.1015625,122458,0,0
2012-07-05,110.078125,110.1484375,110.078125,110.140625,150557,0,0
